id	logFC	P.Value	adj.P.Val
C1S	1.9595993317592537	8.172843576953169e-12	4.7573969013813135e-08
ALOX5	2.147881869350515	5.486203858474839e-12	4.7573969013813135e-08
ARL4C	2.41152739448688	8.305511350176873e-12	4.7573969013813135e-08
CTSS	2.1168535215548783	1.502355886563312e-11	5.1632967109407907e-08
TPM4	1.2221617293935942	1.378774326705163e-11	5.1632967109407907e-08
CD180	2.2459442876035745	2.1744868773376656e-11	6.227730416695075e-08
CD163	1.7389288654199007	3.785044262623859e-11	8.539502675891236e-08
LAPTM5	2.0525365616030236	3.9755599049772975e-11	8.539502675891236e-08
C3AR1	1.514846529094756	1.1460503560051726e-10	1.0385866529362281e-07
LCP1	2.4251152372726157	5.515260279338752e-11	1.0385866529362281e-07
VCAM1	1.2211114108363912	1.11714384899896e-10	1.0385866529362281e-07
GNG2	1.0463700993022638	9.397363328794878e-11	1.0385866529362281e-07
C3	2.790381750647633	7.376019358309244e-11	1.0385866529362281e-07
C1R	1.582064162509381	8.108524994244331e-11	1.0385866529362281e-07
LY9	2.616898119427945	1.2522997519742246e-10	1.0385866529362281e-07
NNMT	3.117512975636336	1.1571562059457563e-10	1.0385866529362281e-07
CASP1	1.4939943042649224	1.6376093922641367e-10	1.0385866529362281e-07
DGCR9	-1.5240426587041505	1.488752588325064e-10	1.0385866529362281e-07
GPR141	1.737925442191572	1.6989902179518245e-10	1.0385866529362281e-07
PIK3R6	2.3103827968809734	1.3968636044040567e-10	1.0385866529362281e-07
CXCL16	0.9259486201732088	8.738015986181294e-11	1.0385866529362281e-07
ADAMDEC1	3.866269264443172	1.752735855164724e-10	1.0385866529362281e-07
TMEM154	2.103257954486396	1.0394115502222817e-10	1.0385866529362281e-07
CYBB	1.8895395458727648	1.6262896970749898e-10	1.0385866529362281e-07
GZMA	2.005296592752705	1.6249277721273684e-10	1.0385866529362281e-07
SELPLG	1.9105950463537305	1.1344600890148051e-10	1.0385866529362281e-07
PTPRC	2.2949718113355857	1.4074245889089366e-10	1.0385866529362281e-07
FCGR2A	1.3495953412226172	1.3604490070365625e-10	1.0385866529362281e-07
BRCA2	1.0530073677990472	1.7218649663479647e-10	1.0385866529362281e-07
RAC2	2.478572462105795	1.9681008627422175e-10	1.0991311167046212e-07
P2RY13	1.500645524289788	1.9828366281333368e-10	1.0991311167046212e-07
FYB	1.9508290293259893	2.291220091610939e-10	1.200550275198385e-07
FSTL1	1.1658962991582875	2.3055260173153345e-10	1.200550275198385e-07
SLAMF6	2.3745065793548488	2.647672498974284e-10	1.3317638176484135e-07
DOCK2	2.1512704569213383	2.712507775703822e-10	1.3317638176484135e-07
LRIT3	-1.1023708810243322	2.809316948450749e-10	1.340980623393824e-07
SASH3	1.9786205559006387	3.0233689521129464e-10	1.40415059657051e-07
PDLIM1	1.1507204830846511	3.115479981302557e-10	1.408852842071135e-07
GBP2	1.3956820026219336	3.254078620900147e-10	1.4243492846859188e-07
ITGAM	1.512936941697502	3.3155244056934797e-10	1.4243492846859188e-07
DOPEY2	0.6849776856768788	3.4245178932087397e-10	1.4352906213877798e-07
CD244	2.0052652394807238	4.0398203664513863e-10	1.6528636470738243e-07
NFKB2	1.0972963806792801	4.174032485818769e-10	1.6680598659606912e-07
COL3A1	2.005824645556512	4.4454587962971123e-10	1.736153726262945e-07
CD53	2.2064168510900934	5.335151907399543e-10	2.0373166750389725e-07
THEMIS2	1.7642878296102271	6.205066300017292e-10	2.0476502100943226e-07
ARHGAP30	1.8280703216102747	6.42563837829689e-10	2.0476502100943226e-07
SNX20	2.3722812514393485	6.361218333811151e-10	2.0476502100943226e-07
IL7	1.2713294001930278	6.251801362595082e-10	2.0476502100943226e-07
ITK	2.4099210116374605	5.622985531948051e-10	2.0476502100943226e-07
AKAP1	-0.5998491111181394	5.999041220583428e-10	2.0476502100943226e-07
SH2D2A	1.8500401147573076	6.339647370286792e-10	2.0476502100943226e-07
LYN	1.1508789297826532	5.671258371051816e-10	2.0476502100943226e-07
RIPK3	1.0506527927139668	6.472822189817653e-10	2.0476502100943226e-07
SELL	2.6759569791842575	6.672975545000119e-10	2.0476502100943226e-07
SERPINB8	1.2840890221661878	6.609151445242839e-10	2.0476502100943226e-07
FAM198B	0.8579960995147431	6.818636249807728e-10	2.0556393915209823e-07
MCUB	1.562006523929731	7.237881999321812e-10	2.1080638012940005e-07
TNFAIP3	1.2390450812595422	7.153791908012377e-10	2.1080638012940005e-07
OSMR	1.4152665530555204	7.455546836428174e-10	2.135268613953029e-07
FAM71C	-1.8445656802325834	7.878976140334074e-10	2.2125924226511325e-07
NUGGC	-1.5924867210784726	7.983049942060651e-10	2.2125924226511325e-07
PTPRE	1.4930631690450689	8.187201669072252e-10	2.2331567219259932e-07
